Source,Title,Content,Section,URL,Date
La Jornada,Plata dos bronce mexicano Copa Mundial Clavados,"146 día comencar Juegos Olímpicos , clavadista mexicano no bajar ritmo . Copa Mundo continuar poler mayor exigencia , pese tener lugar asegura-dos justo veraniego . así , mentalidad , caer primero medalla Randal Willars dos dupla más brillante tener delegación tricolor .",Sports,https://www.jornada.com.mx/2024/03/03/deportes/a09n2dep?partner=rss,3/3/2024
La Jornada,Sergio Pérez arrancar temporada podio Baréin ; finalizar segundo,"Mexicano Sergio Pérez constatar haber convertir clase pi-loto escudería Fórmula 1 querer tener . peri-cia haber ganar 13 año trayectoria quedar evidenciado podio número 36 lograr ayer arranque temporada 2024 , segundo lugar también alcanzar año pasado Gran Premio Baréin .",Sports,https://www.jornada.com.mx/2024/03/03/deportes/a09n1dep?partner=rss,3/3/2024
La Jornada,Torneo dejar claro Acapulco estar pie : Falla,"Acapulco , Gro. , Abierto Mexicano Tenis "" valer oro "" Acapulco , proclamar director torneo , Álvaro Falla . último día juego certamen , colombiano realizar balance edición 31 dedicado reconstrucción puerto paso arrasador Otis .",Sports,https://www.jornada.com.mx/2024/03/03/deportes/a11n2dep?partner=rss,3/3/2024
La Jornada,"Lista votar , ley salario base deporte","Reforma Ley Federal Trabajo ( LFT ) , fin garantizar derecho laboral deportista profesional , futbolista , luchadora , boxeadora , , ser salario equitativo respecto varón , estabilidad empleo seguridad social , estar listo votar pleno Senado próximo semana .",Sports,https://www.jornada.com.mx/2024/03/03/deportes/a10n3dep?partner=rss,3/3/2024
La Jornada,América humillar 5-1 domicilio Atlas,"Pese fallar penal , América lograr remontar marcador golear 5-1 Atlas , jugar elemento menos segundo tiempo , ayer duelo correspondiente jornada diez torneo Clausura 2024 , efectuado estadio Jalisco .",Sports,https://www.jornada.com.mx/2024/03/03/deportes/a27n2dep?partner=rss,3/3/2024
La Jornada,"Histórico , LeBron lograr 40 mil punto temporada regular","Ángeles . , nuevo hito legendario carrera , LeBron James convertir sábado primero jugador historia NBA llegar 40 mil punto anotado temporada regular .",Sports,https://www.jornada.com.mx/2024/03/03/deportes/a27n3dep?partner=rss,3/3/2024
La Jornada,Santi González quedar subcampeonato,"Acapulco , Gro. , cuento hadas Santiago González Acapulco no tener final feliz . Nueve año después ultimo duelo cetro puerto guerreren , veracruzano disputar nuevamente título doble , desenlace historia ser 2015 : subcampeonato .",Sports,https://www.jornada.com.mx/2024/03/03/deportes/a11n1dep?partner=rss,3/3/2024
La Jornada,Miñaur dominar Abierto Acapulco ser bicampeón,"Acapulco , Gro. , tribuna Arena GNP fin lucir nutrido . diferencia día semana aforo alcanzar 70 ciento capacidad presenciar final single Abierto Mexicano Tenis Alex Miñaur Casper Ruud .",Sports,https://www.jornada.com.mx/2024/03/03/deportes/a27n1dep?partner=rss,3/3/2024
La Jornada,Máquina pitar Azteca,"Dos equipo grande dimensión enfrentar , sensación recorrer amplio espectro ir emoción drama , suspenso euforia placer histeria . partido ser más simple cita estadístico , mucho más escenario repleto estadio Azteca . Cruz Azul hacer ver forma sencillo . golear 3-0 Guadalajara corregir actuación brillante serie deuda perseguir pasado clásico joven .",Sports,https://www.jornada.com.mx/2024/03/03/deportes/a10n1dep?partner=rss,3/3/2024
La Jornada,Edson Álvarez anotar sellir victoria Hammers,"Edson Álvarez continuar brillar Europa . enunciar ser senci-llo , sostener desempeño oscilar siempre margeón buen sobresaliente ser tarea más ardua no sólo mexicano vie-jo continente , carrera futbolista .",Sports,https://www.jornada.com.mx/2024/03/03/deportes/a10n2dep?partner=rss,3/3/2024
La Jornada,Tomar cuenta,"Semana iniciar publicar dato inflación febrero , consumo privado , confianza consumidor , .",Economy,https://www.jornada.com.mx/2024/03/03/economia/015n4eco?partner=rss,3/3/2024
La Jornada,Subasta puro cubano recaudar 19 millón dólar,"Habana. , subasta exclusivo puro cubano , considerado mejor mundo , recaudar más 19 millón dólar , ser donar sistema salud isla , organizador .",Economy,https://www.jornada.com.mx/2024/03/03/economia/015n3eco?partner=rss,3/3/2024
La Jornada,Desacuerdo OMC subvención pesca agro,"Abu Dabi. , reunión ministerial Organización Mundial Comercio ( OMC ) concluir sábado fracaso negociación subvención pesca agricultura , dos tema central conferencia celebrado Abu Dabi , capital Emiratos Árabes Unidos .",Economy,https://www.jornada.com.mx/2024/03/03/economia/015n2eco?partner=rss,3/3/2024
La Jornada,José Antonio Rojas Nieto : marcha economía mexicano : noveno,"Ya tener resultado financiero Pemex 31 diciembre 2023 . día tener auditado . ver cuidado , confirmar señalar hacer día , base reporte 30 septiembre . ¿ tratar ? regresivo tendencia "" traspaleo financiero "" . pasivo largo plazo pasivo corto plazo , resolver no más 18 mes .",Economy,https://www.jornada.com.mx/2024/03/03/economia/014a1eco?partner=rss,3/3/2024
La Jornada,"Auge tecnológico , distinto burbuja empresa "" puntocom "" año 2000","Nuevo nivel máximo acción tecnológico regresar temor alza excesivo riesgo "" estallido burbuja "" , sucedido 2000 llamado "" burbuja puntocom "" . embargo , avance proporcional precio actual ser mucho menor suceder época , concentración mercado ser realmente único riesgo ver , sostener analista bursátil .",Economy,https://www.jornada.com.mx/2024/03/03/economia/014n1eco?partner=rss,3/3/2024
La Jornada,Escuelas privado reponer incremento no aplicar pandemia,"Pandemia , escuela privado ser más cara . todavía no haber acabar recuperar incremento perder pandemia covid- 19 , pandemia haber congelamiento precio ahora estar transfirir incremento costo consumidor .",Economy,https://www.jornada.com.mx/2024/03/03/economia/013n2eco?partner=rss,3/3/2024
