Section,Title,Summary
EnergyEnvironment,"Top Bidder for Citgo Is Elliott-Backed Group, Court Master Says","The sale, which requires a judge’s approval, would help compensate foreign companies owed billions of dollars by the government of Venezuela, which owns Citgo."
EnergyEnvironment,Hurricanes and Wildfires Are Taxing Utilities. Can A.I. Help?,"From hurricanes to wildfires, a new generation of technologies could help utilities better plan for the risk of extreme weather to their electric grid."
EnergyEnvironment,Climate Forward: Confronting Our New Reality,Solutions to the problem of climate change have never been more clear. But the scale of the problem keeps getting bigger.
EnergyEnvironment,The World Is a Mess. That Makes the Climate Crisis Harder to Solve.,"A transformed China, conflicts in Ukraine and elsewhere, and intractable clashes over money have pushed the prospects of progress to a new low."
EnergyEnvironment,How Dangerous Is PFAS in Food?,There’s a growing understanding of the health threats of PFAS chemicals in what we eat and drink.
EnergyEnvironment,Did PFAS From Sewage Sludge Poison a Family Farm?,"Pastures were fertilized with toxic sewage decades ago. Nobody knew, until the cows’ milk was tested."
EnergyEnvironment,Critics Fear Tax Subsidies for Carbon Capture Won’t Be Checked,Some activists are questioning whether the federal government can accurately verify a tax program for facilities that store planet-warming gases.
EnergyEnvironment,Three Mile Island Plans to Reopen as Demand for Nuclear Power Grows,"The infamous plant, closed since 2019, is getting a new lease on life after Microsoft agreed to buy its electricity to supply a growing fleet of data centers."
EnergyEnvironment,Prehistoric Earth Was Very Hot. That Offers Clues About Future Earth.,"At times during the past half-billion years, carbon dioxide warmed our planet more than previously thought, according to a new reconstruction of Earth’s deep past."
EnergyEnvironment,Asphalt Schoolyards Get a Shady Makeover,"Schools across the country are adding trees, tent-like structures and water to their playgrounds as temperatures soar."
EnergyEnvironment,"Methane Levels Still Rising, Despite Global Methane Pledge","Satellite data shows the U.S. releasing more and more of the potent greenhouse gas into the atmosphere, researchers said, despite pledges to cut back."
EnergyEnvironment,Tyson Is Sued Over Labeling of ‘Climate-Smart’ Beef,"An environmental group said the company, a major food producer, was misleading shoppers with its claims about eco-friendly practices."
EnergyEnvironment,G.M. Electric Vehicles Gain Access to Tesla Chargers,"After a delay of several months, General Motors said owners of its battery-powered models would now be able to use Tesla charging stations with adapters."
EnergyEnvironment,How Colorado’s Thompson Divide Got Protection From Oil and Gas Drilling,"The members of a self-described ragtag group had little in common, but their campaign could serve as model for future environmental efforts."
EnergyEnvironment,Big Energy Issue in Pennsylvania Is Low Natural Gas Prices. Not Fracking.,"Energy businesses and farmers in western Pennsylvania are struggling because of prices, an issue that has not figured prominently in the campaigns of Donald J. Trump and Kamala Harris."
EnergyEnvironment,"Noisy, Hungry Data Centers Are Catching Communities by Surprise",Residents rarely learn how data centers and their noise and energy and water use may affect their lives until it’s too late.
EnergyEnvironment,"Pollution May Affect the Color of City Birds, Research Shows","Recent studies show that certain feather pigments can help neutralize toxic pollution. It means darker, duller birds could have a survival advantage."
EnergyEnvironment,Climate Lawsuits Are Exploding. Are Homicide Charges Next?,The courts have become one of the most important battlegrounds in the fight over planet-warming emissions. Here are prominent cases to watch.
EnergyEnvironment,Youth Group Asks Supreme Court to Revive a Landmark Climate Lawsuit,The case argues the government violated young people’s constitutional rights by failing to curb the use of fossil fuels. A lower court had thrown it out.
EnergyEnvironment,"Offshore Wind Slowed by Broken Blades, Rising Costs and Angry Fishermen",Accidents involving blades made by GE Vernova have delayed projects off the coasts of Massachusetts and England and could imperil climate goals.
Technology,"Elon Musk’s Week on X: Deepfakes, Falsehoods and Lots of Memes","Almost a third of 171 posts last week from the X owner were false, misleading or missing vital context."
Technology,"Mira Murati, Chief Technology Officer at OpenAI, Is Leaving Company","Mira Murati, the chief technology officer, and two others are leaving as leaders including Sam Altman work to transform the start-up."
Technology,Caroline Ellison Sentenced to Two Years in Prison for Role in FTX Fraud,"A top adviser to Sam Bankman-Fried, the disgraced founder of FTX, Ms. Ellison pleaded guilty to conspiring with him to steal $8 billion and became a crucial witness for the prosecution."
Technology,Mark Zuckerberg’s Political Evolution,He was once a backer of liberal causes. Then everyone seemed to turn on him. Now he wants to stay away from politics — if that’s possible.
Technology,California’s Governor Gavin Newsom Vetoes Sweeping A.I. Legislation,"The bill would have been the first in the nation to place strict guardrails on the new technology, but Gov. Gavin Newsom said the bill was flawed."
Technology,California Passes Law Protecting Consumer Brain Data,The state extended its current personal privacy law to include the neural data increasingly coveted by technology companies.
Technology,"Why Stellantis, Owner of Chrysler, Jeep and Ram, Is Struggling","The automaker, created by a 2021 merger, is dealing with labor unrest, slumping sales and a revolt from its dealers."
Technology,OpenAI Is Growing Fast and Burning Through Piles of Money,"As the company looks for more outside investors, documents reviewed by The New York Times show consumer fascination with ChatGPT and a serious need for more cash."
Technology,Titan Sub Hearing: What We’ve Learned So Far,"Contrary to public reports last year, the passengers probably had no idea that the vessel was about to implode."
Technology,How Google Defended Itself in the Ad Tech Antitrust Trial,"The tech giant, which wrapped up its arguments in the federal monopoly trial, simply says it has the best product."
Technology,"Meta’s Race for Your Face, Google’s Hit A.I. Notebook and HatGPT",Building great A.R. glasses is the hardest problem in consumer technology.
Technology,Meta Unveils New Virtual Reality Headset and Other Products,"At an event in Silicon Valley, the company exhibited a range of products meant to blend the real world and virtual reality, with a healthy dose of A.I."
Technology,Why OpenAI Is Trying to Raise So Much Money?,The San Francisco A.I. start-up believes there is not enough computing power on Earth to build the artificial intelligence it wants to create.
Technology,Tips for Easier and Faster Typing on Your Smartphone,"Shortcuts, small external keyboards and even improved (and free) dictation software can make long sessions of text input much simpler."
Technology,CrowdStrike Executive Questioned by Lawmakers Over Global Tech Outage,"Adam Meyers, a senior vice president of the cybersecurity firm, testified in front of a House Homeland Security subcommittee about the July mishap."
Technology,How Meta Distanced Itself From Politics,"Ahead of November’s election, Meta has de-emphasized political content on Facebook, Instagram and Threads and doesn’t want to talk about candidates or campaigns."
Technology,"Spurned by Social Media, Publishers Chase Readers on WhatsApp",News outlets are experimenting with a feature in the world’s most popular messaging app that allows them to send links and headlines directly to followers.
Technology,Elon Musk Hails Italian Leader Giorgia Meloni at Awards Ceremony,"Mr. Musk described Prime Minister Giorgia Meloni as “authentic, honest and thoughtful.” She used her Atlantic Council spotlight to defend Western values."
Technology,Can Math Help AI Chatbots Stop Making Stuff Up?,Chatbots like ChatGPT get stuff wrong. But researchers are building new A.I. systems that can verify their own math — and maybe more.
Technology,Will A.I. Be a Bust? A Wall Street Skeptic Rings the Alarm.,"Jim Covello, Goldman Sachs’s head of stock research, warned that building too much of what the world doesn’t need “typically ends badly.”"
Technology,Biden Administration Proposes Ban on Chinese Software in Vehicles,"Federal officials acknowledged that few Chinese vehicles were on U.S. roads now, but said that the administration wanted to take proactive measures to strengthen national security."
Technology,Could Altering Ocean Chemistry Help Slow Global Warming?,"By tweaking the chemistry of rivers and oceans, humans could remove billions of tons of carbon dioxide from the air. But huge challenges loom."
Sports,"Alabama, Georgia and the Art of an Instant Classic",Georgia had won 42 consecutive regular-season games before the first-year Alabama Coach Kalen DeBoer put his stamp on a rivalry.
Sports,Which N.F.L. Team Has the Best Front Office? One Stands Above the Rest.,Forty league executives and coaches submitted a ballot with their top five. These are the results.
Sports,Paul Skenes Is M.L.B.’s Most Dominant Rookie Pitcher in 50 Years,The Pittsburgh Pirates starter struck out Aaron Judge and Juan Soto and ended his season with a 1.96 earned run average.
Sports,Caitlin Clark Condemns ‘Hateful’ Rhetoric Toward W.N.B.A. Players,The online targeting of players appears to have reached a tipping point during the postseason.
Sports,Alabama Doesn’t Need Nick Saban to Be a College Football Powerhouse,"Kalen DeBoer took the job 261 days ago, but Saturday felt like the moment he truly became the Crimson Tide’s coach, a columnist for The Athletic writes."
Sports,What’s a Season on a Terrible Team Like? We Asked These Baseball Players.,"“It hits you in the face every day,” Alex Cobb said. “Wake up, do it again.”"
Sports,An N.F.L. Broadcasting Pioneer Is Back After Darkness Sidelined Him,"Mike Pereira became the league’s first rules analyst in 2010. But at age 73 and in deep agony, his mind wandered: “I almost gave up.”"
Sports,How Indonesia Turns Unknown Soccer Players Into Superstars,Some of the game’s lesser-known players are becoming online sensations with millions of followers.
Sports,What Tom Hanks and Other Fans Think About the A’s Leaving Oakland,"“How in the world,” Hanks wrote in an email to The Athletic, “does Major League Baseball turn inside-out one of the most storied franchises in the history of the game?”"
Science,Things Are Looking Up for Africa’s Upside-Down Baobab Trees,"A researcher followed up on a study warning that the massive trees were in danger, and found many venerable specimens thriving."
Science,This Fish Evolved Legs That It Uses to Taste Stuff on the Seafloor,"While the sea robin has legs, it still doesn’t need a bicycle."
Science,"The Sun Will Destroy the Earth One Day, Right? Maybe Not.","Astronomers spotted a potential Earth-size rocky world orbiting a white dwarf, suggesting a future in which our planet outlives its star."
Science,A Leggy Tyrannosaur Emerges From a Mexican Desert,Scientists say that the fossil of a close relative of Tyrannosaur rex bolsters their case for a distinctive southern population of the fearsome dinosaurs.
Science,Astronomers Spot a Black Hole with a Cosmic Wingspan,Astronomers have discovered a black hole emitting energy in jets longer than the width of 140 Milky Way galaxies.
Science,"World’s Oldest Cheese Stood Alone for 3,600 Years",The cheese was dug up with mummified human remains in the Xinjiang region of China and offers insights into the origins of the dairy product known as kefir.
Science,Desert Racers Demolish Art Carved by Ancient People in Chile,"Preservationists say governments at all levels have failed to prevent authorized and illegal off-road racers from driving through giant figures of animals, humans and objects."
Science,Gabriel Sachter-Smith’s Quest for Wild Bananas Around the World,One man’s “never-ending quest” for the least-known varieties of the world’s most-eaten fruit.
Science,"Rabies Death in Minnesota Linked to Exposure to Bat, Officials Say","The death, which was reported on Friday, is only the fifth fatal human rabies case in Minnesota since 1975, health officials said."
Science,SpaceX Launches Crew-9 Mission to Bring NASA Starliner Astronauts Home,"Two astronauts — one American, one Russian — are headed to the International Space Station with two empty seats for crewmates who are already in orbit."
Science,Power Outages Hamper Assessment of Landslides From Helene,"With communication lines down in the mountains amid Helene, early reports were unclear about how many landslides had occurred and the extent of damage from the storm."
